"last_name, first_name","player_id","year","player_age","pa","double","home_run","k_percent","bb_percent","xwoba","exit_velocity_avg","out_zone_swing_miss","pull_percent","opposite_percent","groundballs_percent"
"Tatis Jr., Fernando",665487,2024,25,438,21,21,21.9,7.3,".387","93.5",110,38.9,25.4,46.2
"Guerrero Jr., Vladimir",665489,2024,25,697,44,30,13.8,10.3,".408","93.8",133,33.6,24.6,47.7
"Pache, Cristian",665506,2024,25,183,8,1,35,9.3,".250","89.9",49,38.2,26.5,50
"Soto, Juan",665742,2024,25,713,31,41,16.7,18.1,".462","94.2",114,42.3,21.9,44.7
"Taveras, Leody",665750,2024,25,529,17,12,21.2,7.9,".295","89",138,29.9,32.8,41.1
"Amaya, Miguel",665804,2024,25,363,13,8,17.1,6.3,".300","88.4",90,34.3,31.8,45.3
"Cabrera, Oswaldo",665828,2024,25,326,11,8,19.3,6.4,".285","88.2",73,36.5,22.8,44
"Cruz, Oneil",665833,2024,25,599,34,21,30.2,8.5,".340","95.5",208,39.3,24.7,48.1
"Valdez, Enmanuel",665839,2024,25,223,12,6,23.8,7.6,".304","89.4",49,46.4,24.8,34.6
"Chisholm Jr., Jazz",665862,2024,26,621,21,24,24.5,8.5,".316","89.7",164,41.3,17.5,49.8
"Giménez, Andrés",665926,2024,25,633,22,9,15.3,4.1,".296","86.3",165,37.6,24.6,51.1
"Chaparro, Andrés",665953,2024,25,132,12,4,18.2,5.3,".301","87.8",42,39.2,21.6,38.1
"Aranda, Jonathan",666018,2024,26,143,7,6,22.4,8.4,".362","91.9",26,48.5,19.6,49.5
"Fermin, Freddy",666023,2024,29,368,14,6,17.9,6.3,".279","88.2",103,45.5,18.8,50.9
"Jones, Nolan",666134,2024,26,297,13,3,30.6,12.1,".287","88.2",56,26.6,27.2,52.1
"Kirilloff, Alex",666135,2024,26,178,8,5,26.4,8.4,".310","91.3",57,38.3,24.3,48.7
"Lowe, Josh",666139,2024,26,387,19,10,31.8,8.3,".295","90.8",123,34.1,33.2,35.8
"Fitzgerald, Tyler",666149,2024,26,341,19,15,31.7,6.5,".292","87.7",96,49.8,24.2,35.3
"Fletcher, Dominic",666150,2024,26,241,8,1,24.1,4.6,".244","84.4",47,28.6,30.4,45.2
"Hamilton, David",666152,2024,26,317,17,8,25.2,6.9,".281","87",75,41.1,27.6,37.4
"Lux, Gavin",666158,2024,26,487,24,10,22.6,9,".318","88.3",91,35,22.4,48.6
"Moniak, Mickey",666160,2024,26,418,17,14,27.3,5,".283","88.1",143,46.6,20.4,36.2
"Rortvedt, Ben",666163,2024,26,328,13,3,26.8,10.4,".267","86.2",87,31.7,28.7,47
"Adell, Jo",666176,2024,25,451,15,20,27.9,7.8,".312","89.8",140,41.1,24.8,35.5
"Benson, Will",666181,2024,26,388,19,14,39.7,10.3,".268","89.4",114,49.5,19.3,35.9
"Bichette, Bo",666182,2024,26,336,16,4,19,6,".303","89.2",95,26.9,36.5,47
"Carlson, Dylan",666185,2024,25,265,7,3,28.3,8.3,".250","86.8",62,41.7,27.6,41.7
"Naylor, Bo",666310,2024,24,389,10,13,31.4,7.5,".260","88.8",99,43.2,20.3,36
"Julien, Edouard",666397,2024,25,301,9,8,33.9,11,".287","87.8",69,36,31.1,45.1
"Encarnacion, Jerar",666464,2024,26,119,5,5,28.6,4.2,".348","95",39,28.7,26.3,48.8
"Morel, Christopher",666624,2024,25,611,11,21,26,10,".316","89.2",161,45.7,16.8,45.1
"García, Adolis",666969,2024,31,637,27,25,27.8,7.1,".306","91",242,34.7,29.8,38.9
"Gurriel Jr., Lourdes",666971,2024,30,553,22,18,18.3,5.2,".319","88.4",130,40.5,27.6,38.1
"Julks, Corey",667452,2024,28,189,7,3,26.5,7.9,".265","84.9",49,34.7,29,38.7
"Myers, Dane",667472,2024,28,108,6,3,33.3,7.4,".317","89.9",22,26.2,26.2,44.3
"Rooker Jr., Brent",667670,2024,29,614,26,39,28.8,9.6,".380","91.9",239,42.6,24.7,33.8
"Arozarena, Randy",668227,2024,29,648,33,20,26.1,11.3,".324","90.4",142,42.4,19.5,44.5
