"last_name, first_name","player_id","year","whiff_percent"
"Ryan, Joe",657746,2022,25.6
"Montgomery, Jordan",656756,2023,26
"Rea, Colin",607067,2024,19.3
"Steele, Justin",657006,2023,24
"Stone, Gavin",694813,2024,24.7
"Otto Jr., Glenn",657248,2022,23.1
"Bradish, Kyle",680694,2022,23.6
"Kelly, Merrill",518876,2022,23.6
"Gomber, Austin",596295,2024,19.9
"Miller, Bryce",682243,2024,24.4
"Bundy, Dylan",605164,2022,21.3
"Sears, JP",676664,2024,21.8
"Ortiz, Luis",682847,2024,21
"Keller, Brad",641745,2022,21.6
"Gibson, Kyle",502043,2024,25.9
"Ragans, Cole",666142,2024,32
"Davies, Zach",605200,2022,21.5
"Cannon, Jonathan",686563,2024,21.8
"Lively, Ben",594902,2024,18.6
"Lorenzen, Michael",547179,2023,21.7
"Wright, Kyle",657140,2022,26.5
"Singer, Brady",663903,2024,25.1
"Sánchez, Cristopher",650911,2024,24.3
"Singer, Brady",663903,2022,23
"Freeland, Kyle",607536,2023,17.2
"Bassitt, Chris",605135,2022,23.6
"Lyles, Jordan",543475,2023,20.1
"Gray, Sonny",543243,2024,29.8
"López, Pablo",641154,2022,28.2
"Gallen, Zac",668678,2022,23
"Bassitt, Chris",605135,2024,21.7
"Eflin, Zach",621107,2023,24.1
"López, Reynaldo",625643,2024,27.5
"Elder, Bryce",693821,2023,23.6
"Irvin, Cole",608344,2022,20.6
"Anderson, Tyler",542881,2022,24.3
"Keller, Mitch",656605,2023,23.2
"Anderson, Tyler",542881,2023,27.8
"Crochet, Garrett",676979,2024,33.1
"Gibson, Kyle",502043,2022,25.2
"Bieber, Shane",669456,2023,24.3
"Bradish, Kyle",680694,2023,26
"Kershaw, Clayton",477132,2023,28.1
"Lynn, Lance",458681,2023,28.8
"Skubal, Tarik",669373,2024,31.9
"Darvish, Yu",506433,2023,25.1
"Woods Richardson, Simeon",680573,2024,22.3
"Civale, Aaron",650644,2023,22.7
"Manaea, Sean",640455,2024,26.1
"Gray, Sonny",543243,2023,26.1
"Castillo, Luis",622491,2023,30.6
"Ober, Bailey",641927,2024,29
"López, Pablo",641154,2024,27
"Allen, Logan",671106,2023,24
"Montas, Frankie",593423,2024,24.9
"Kremer, Dean",665152,2023,24
"Taillon, Jameson",592791,2024,19.5
"Sale, Chris",519242,2024,31
"Bassitt, Chris",605135,2023,21.9
"Bello, Brayan",678394,2023,24.4
